Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2020-09-18,19:00 (21:00),Famalicão,1–5,Benfica,,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,
Regular Season,1,Fri,2020-09-18,21:15 (23:15),Vitória,0–1,Belenenses,,Estádio Dom Afonso Henriques,Manuel Oliveira,Match Report,
Regular Season,1,Sat,2020-09-19,16:00 (18:00),Nacional,3–3,Boavista,,Estádio da Madeira,António Nobre,Match Report,
Regular Season,1,Sat,2020-09-19,21:00 (23:00),Porto,3–1,Braga,,Estádio Do Dragão,João Pinheiro,Match Report,
Regular Season,1,Sun,2020-09-20,15:00 (18:00),Santa Clara,2–0,Marítimo,,Cidade do Futebol,Manuel Mota,Match Report,
Regular Season,1,Sun,2020-09-20,18:30 (20:30),Moreirense,2–0,SC Farense,,P.D. Comendador Joaquim de Almeida Freit...,João Bento,Match Report,
Regular Season,1,Sun,2020-09-20,21:00 (23:00),Tondela,1–1,Rio Ave,,Estádio João Cardoso,Rui Costa,Match Report,
Regular Season,1,Mon,2020-09-21,19:45 (21:45),Portimonense,1–1,Paços,,Estádio do Portimonense SC,Iancu Vasilica,Match Report,
Regular Season,2,Fri,2020-09-25,20:30 (22:30),Braga,0–1,Santa Clara,,Estádio Municipal de Braga,Rui Costa,Match Report,
Regular Season,2,Sat,2020-09-26,15:30 (17:30),Marítimo,2–1,Tondela,,Estádio dos Barreiros,André Narciso,Match Report,
Regular Season,2,Sat,2020-09-26,18:30 (20:30),Benfica,2–0,Moreirense,,Estádio do Sport Lisboa e Benfica,Nuno Almeida,Match Report,
Regular Season,2,Sat,2020-09-26,21:00 (23:00),Boavista,0–5,Porto,,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
Regular Season,2,Sun,2020-09-27,15:30 (17:30),SC Farense,0–1,Nacional,,Estádio de São Lúis,Gustavo Correia,Match Report,
Regular Season,2,Sun,2020-09-27,16:00 (18:00),Gil Vicente FC,1–0,Portimonense,,Estádio Cidade de Barcelos,António Nobre,Match Report,
Regular Season,2,Sun,2020-09-27,18:30 (20:30),Paços,0–2,Sporting CP,,Estádio da Capital do Móvel,Fábio Veríssimo,Match Report,
Regular Season,2,Sun,2020-09-27,21:00 (23:00),Rio Ave,0–0,Vitória,,Estádio do Rio Ave Futebol Clube,Tiago Martins,Match Report,
Regular Season,2,Mon,2020-09-28,19:45 (21:45),Belenenses,1–2,Famalicão,,Estádio Nacional,Hélder Malheiro,Match Report,
Regular Season,3,Fri,2020-10-02,19:00 (21:00),Moreirense,1–1,Boavista,,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,
Regular Season,3,Fri,2020-10-02,21:15 (23:15),Vitória,1–0,Paços,,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
Regular Season,3,Sat,2020-10-03,16:00 (18:00),Santa Clara,0–0,Gil Vicente FC,873,Cidade do Futebol,Iancu Vasilica,Match Report,
Regular Season,3,Sat,2020-10-03,18:30 (20:30),Porto,2–3,Marítimo,,Estádio Do Dragão,Rui Costa,Match Report,
Regular Season,3,Sat,2020-10-03,21:00 (23:00),Tondela,0–4,Braga,,Estádio João Cardoso,Nuno Almeida,Match Report,
Regular Season,3,Sun,2020-10-04,15:30 (17:30),Nacional,0–0,Belenenses,,Estádio da Madeira,Vitor Ferreira Fernandes,Match Report,
Regular Season,3,Sun,2020-10-04,18:30 (20:30),Benfica,3–2,SC Farense,,Estádio do Sport Lisboa e Benfica,Tiago Martins,Match Report,
Regular Season,3,Sun,2020-10-04,18:30 (20:30),Famalicão,1–1,Rio Ave,,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,
Regular Season,3,Sun,2020-10-04,21:00 (23:00),Portimonense,0–2,Sporting CP,,Estádio do Portimonense SC,Manuel Oliveira,Match Report,
Regular Season,4,Sat,2020-10-17,15:30 (17:30),Gil Vicente FC,1–1,Tondela,,Estádio Cidade de Barcelos,Miguel Nogueira,Match Report,
Regular Season,4,Sat,2020-10-17,15:30 (17:30),Marítimo,1–2,Portimonense,,Estádio dos Barreiros,João Bento,Match Report,
Regular Season,4,Sat,2020-10-17,18:00 (20:00),Braga,2–1,Nacional,,Estádio Municipal de Braga,Artur Soares Dias,Match Report,
Regular Season,4,Sat,2020-10-17,20:30 (22:30),Sporting CP,2–2,Porto,,Estádio José Alvalade,Luís Godinho,Match Report,
Regular Season,4,Sun,2020-10-18,15:00 (17:00),Paços,2–1,Santa Clara,,Estádio da Capital do Móvel,Vitor Ferreira Fernandes,Match Report,
Regular Season,4,Sun,2020-10-18,15:00 (17:00),Belenenses,0–0,Moreirense,,Estádio Nacional,António Nobre,Match Report,
Regular Season,4,Sun,2020-10-18,17:30 (19:30),SC Farense,3–3,Famalicão,,Estádio de São Lúis,André Narciso,Match Report,
Regular Season,4,Sun,2020-10-18,20:00 (22:00),Rio Ave,0–3,Benfica,,Estádio do Rio Ave Futebol Clube,João Pinheiro,Match Report,
Regular Season,4,Mon,2020-10-19,20:15 (22:15),Boavista,0–1,Vitória,,Estádio do Bessa Século XXI,Nuno Almeida,Match Report,
Regular Season,5,Fri,2020-10-23,20:30 (22:30),Tondela,1–0,Portimonense,132,Estádio João Cardoso,Vitor Ferreira Fernandes,Match Report,
Regular Season,5,Sat,2020-10-24,15:30 (17:30),Nacional,1–1,Paços,,Estádio da Madeira,Hugo Coelho,Match Report,
Regular Season,5,Sat,2020-10-24,17:00 (20:00),Santa Clara,1–2,Sporting CP,,Estádio de São Miguel,Manuel Mota,Match Report,
Regular Season,5,Sat,2020-10-24,20:30 (22:30),Porto,1–0,Gil Vicente FC,,Estádio Do Dragão,Hélder Malheiro,Match Report,
Regular Season,5,Sun,2020-10-25,15:00 (18:00),Moreirense,2–1,Marítimo,,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
Regular Season,5,Sun,2020-10-25,15:00 (18:00),SC Farense,0–1,Rio Ave,,Estádio de São Lúis,Manuel Oliveira,Match Report,
Regular Season,5,Sun,2020-10-25,17:30 (20:30),Famalicão,2–2,Boavista,,Estádio Municipal 22 de Junho,Tiago Martins,Match Report,
Regular Season,5,Sun,2020-10-25,20:00 (23:00),Vitória,0–1,Braga,,Estádio Dom Afonso Henriques,Fábio Veríssimo,Match Report,
Regular Season,5,Mon,2020-10-26,20:15 (23:15),Benfica,2–0,Belenenses,,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
Regular Season,1,Wed,2020-10-28,21:45 (00:45),Sporting CP,3–1,Gil Vicente FC,,Estádio José Alvalade,André Narciso,Match Report,
Regular Season,6,Fri,2020-10-30,20:30 (23:30),Paços,3–2,Porto,,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
Regular Season,6,Sat,2020-10-31,15:30 (18:30),Belenenses,1–1,SC Farense,,Estádio Nacional,Manuel Mota,Match Report,
Regular Season,6,Sat,2020-10-31,18:00 (21:00),Rio Ave,2–0,Moreirense,,Estádio do Rio Ave Futebol Clube,Iancu Vasilica,Match Report,
Regular Season,6,Sat,2020-10-31,20:30 (23:30),Marítimo,0–0,Nacional,,Estádio dos Barreiros,Vitor Ferreira Fernandes,Match Report,
Regular Season,6,Sun,2020-11-01,15:00 (18:00),Portimonense,1–2,Santa Clara,,Estádio do Portimonense SC,Fábio Veríssimo,Match Report,
Regular Season,6,Sun,2020-11-01,17:30 (20:30),Gil Vicente FC,1–2,Vitória,,Estádio Cidade de Barcelos,Gustavo Correia,Match Report,
Regular Season,6,Sun,2020-11-01,20:00 (23:00),Sporting CP,4–0,Tondela,,Estádio José Alvalade,António Nobre,Match Report,
Regular Season,6,Mon,2020-11-02,18:45 (21:45),Braga,1–0,Famalicão,,Estádio Municipal de Braga,Rui Costa,Match Report,
Regular Season,6,Mon,2020-11-02,21:00 (00:00),Boavista,3–0,Benfica,,Estádio do Bessa Século XXI,Hugo Miguel,Match Report,
Regular Season,7,Fri,2020-11-06,20:30 (23:30),Belenenses,0–0,Rio Ave,,Estádio Nacional,Fábio Veríssimo,Match Report,
Regular Season,7,Sat,2020-11-07,15:00 (18:00),Tondela,2–0,Santa Clara,,Estádio João Cardoso,João Bento,Match Report,
Regular Season,7,Sat,2020-11-07,18:00 (21:00),Famalicão,2–1,Marítimo,,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,
Regular Season,7,Sat,2020-11-07,20:30 (23:30),Vitória,0–4,Sporting CP,,Estádio Dom Afonso Henriques,Hugo Miguel,Match Report,
Regular Season,7,Sun,2020-11-08,15:00 (18:00),Nacional,2–1,Gil Vicente FC,,Estádio da Madeira,Fábio Oliveira Melo,Match Report,
Regular Season,7,Sun,2020-11-08,15:00 (18:00),SC Farense,3–1,Boavista,,Estádio de São Lúis,Vitor Ferreira Fernandes,Match Report,
Regular Season,7,Sun,2020-11-08,17:30 (20:30),Porto,3–1,Portimonense,,Estádio Do Dragão,António Nobre,Match Report,
Regular Season,7,Sun,2020-11-08,20:00 (23:00),Benfica,2–3,Braga,,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
Regular Season,8,Fri,2020-11-27,19:00 (22:00),Paços,2–0,Famalicão,,Estádio da Capital do Móvel,João Bento,Match Report,
Regular Season,8,Fri,2020-11-27,21:00 (00:00),Tondela,0–2,Vitória,,Estádio João Cardoso,Artur Soares Dias,Match Report,
Regular Season,8,Sat,2020-11-28,17:00 (21:00),Santa Clara,0–1,Porto,,Estádio de São Miguel,João Pinheiro,Match Report,
Regular Season,8,Sat,2020-11-28,20:30 (23:30),Sporting CP,2–1,Moreirense,,Estádio José Alvalade,Vitor Ferreira Fernandes,Match Report,
Regular Season,8,Sun,2020-11-29,15:00 (18:00),Gil Vicente FC,2–0,Rio Ave,,Estádio Cidade de Barcelos,Luís Godinho,Match Report,
Regular Season,8,Sun,2020-11-29,15:00 (18:00),Portimonense,1–0,Nacional,,Estádio do Portimonense SC,Gustavo Correia,Match Report,
Regular Season,8,Sun,2020-11-29,17:30 (20:30),Boavista,0–0,Belenenses,,Estádio do Bessa Século XXI,Tiago Martins,Match Report,
Regular Season,8,Sun,2020-11-29,20:00 (23:00),Braga,1–0,SC Farense,,Estádio Municipal de Braga,António Nobre,Match Report,
Regular Season,8,Mon,2020-11-30,19:00 (22:00),Marítimo,1–2,Benfica,,Estádio dos Barreiros,Manuel Mota,Match Report,
Regular Season,7,Tue,2020-12-01,21:45 (00:45),Moreirense,0–1,Paços,,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,Match Report,
Regular Season,9,Sat,2020-12-05,15:30 (18:30),Moreirense,1–1,Gil Vicente FC,,P.D. Comendador Joaquim de Almeida Freit...,Miguel Nogueira,Match Report,
Regular Season,9,Sat,2020-12-05,15:30 (18:30),Vitória,1–0,Portimonense,,Estádio Dom Afonso Henriques,António Nobre,Match Report,
Regular Season,9,Sat,2020-12-05,18:00 (21:00),Famalicão,2–2,Sporting CP,,Estádio Municipal 22 de Junho,Luís Godinho,Match Report,
Regular Season,9,Sat,2020-12-05,20:30 (23:30),Porto,4–3,Tondela,,Estádio Do Dragão,Tiago Martins,Match Report,
Regular Season,9,Sun,2020-12-06,15:00 (18:00),Nacional,1–3,Santa Clara,,Estádio da Madeira,Vitor Ferreira Fernandes,Match Report,
Regular Season,9,Sun,2020-12-06,17:30 (20:30),Rio Ave,0–0,Boavista,,Estádio do Rio Ave Futebol Clube,João Bento,Match Report,
Regular Season,9,Sun,2020-12-06,20:00 (23:00),Benfica,2–1,Paços,,Estádio do Sport Lisboa e Benfica,Rui Costa,Match Report,
Regular Season,9,Sun,2020-12-06,20:00 (23:00),Belenenses,2–1,Braga,,Estádio Nacional,Hélder Malheiro,Match Report,
Regular Season,9,Mon,2020-12-07,20:15 (23:15),SC Farense,2–1,Marítimo,,Estádio de São Lúis,Hugo Miguel,Match Report,
Regular Season,10,Fri,2020-12-18,20:30 (23:30),Portimonense,0–0,Famalicão,,Estádio do Portimonense SC,Hugo Miguel,Match Report,
Regular Season,10,Sat,2020-12-19,15:00 (18:00),Marítimo,1–0,Belenenses,,Estádio dos Barreiros,Fábio Veríssimo,Match Report,
Regular Season,10,Sat,2020-12-19,18:00 (21:00),Tondela,0–0,Moreirense,,Estádio João Cardoso,Manuel Mota,Match Report,
Regular Season,10,Sat,2020-12-19,20:30 (23:30),Sporting CP,1–0,SC Farense,,Estádio José Alvalade,André Narciso,Match Report,
Regular Season,10,Sun,2020-12-20,15:00 (18:00),Paços,1–1,Boavista,,Estádio da Capital do Móvel,Tiago Martins,Match Report,
Regular Season,10,Sun,2020-12-20,17:30 (20:30),Gil Vicente FC,0–2,Benfica,,Estádio Cidade de Barcelos,Nuno Almeida,Match Report,
Regular Season,10,Sun,2020-12-20,20:00 (23:00),Porto,2–0,Nacional,,Estádio Do Dragão,Manuel Oliveira,Match Report,
Regular Season,10,Mon,2020-12-21,19:15 (23:15),Santa Clara,0–4,Vitória,,Estádio de São Miguel,Rui Costa,Match Report,
Regular Season,10,Tue,2020-12-22,20:15 (23:15),Braga,3–0,Rio Ave,,Estádio Municipal de Braga,João Pinheiro,Match Report,
Regular Season,11,Sun,2020-12-27,15:00 (18:00),Nacional,2–0,Tondela,,Estádio da Madeira,João Bento,Match Report,
Regular Season,11,Sun,2020-12-27,15:00 (18:00),Famalicão,0–1,Gil Vicente FC,,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,
Regular Season,11,Sun,2020-12-27,17:30 (20:30),SC Farense,1–1,Paços,,Estádio de São Lúis,Luís Godinho,Match Report,
Regular Season,11,Sun,2020-12-27,20:00 (23:00),Belenenses,1–2,Sporting CP,,Estádio Nacional,Rui Costa,Match Report,
Regular Season,11,Mon,2020-12-28,18:45 (21:45),Rio Ave,1–3,Marítimo,,Estádio do Rio Ave Futebol Clube,Gustavo Correia,Match Report,
Regular Season,11,Mon,2020-12-28,21:00 (00:00),Boavista,1–4,Braga,,Estádio do Bessa Século XXI,André Narciso,Match Report,
Regular Season,11,Tue,2020-12-29,18:00 (21:00),Benfica,2–1,Portimonense,,Estádio do Sport Lisboa e Benfica,Tiago Martins,Match Report,
Regular Season,11,Tue,2020-12-29,18:45 (21:45),Moreirense,1–0,Santa Clara,,P.D. Comendador Joaquim de Almeida Freit...,Iancu Vasilica,Match Report,
Regular Season,11,Tue,2020-12-29,21:00 (00:00),Vitória,2–3,Porto,,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
Regular Season,12,Sat,2021-01-02,18:00 (21:00),Sporting CP,2–0,Braga,,Estádio José Alvalade,Fábio Veríssimo,Match Report,
Regular Season,12,Sun,2021-01-03,13:00 (16:00),Tondela,1–0,Famalicão,,Estádio João Cardoso,Miguel Nogueira,Match Report,
Regular Season,12,Sun,2021-01-03,15:00 (18:00),Marítimo,0–0,Boavista,,Estádio dos Barreiros,Luís Godinho,Match Report,
Regular Season,12,Sun,2021-01-03,19:00 (22:00),Paços,2–0,Rio Ave,,Estádio da Capital do Móvel,Hugo Miguel,Match Report,
Regular Season,12,Sun,2021-01-03,21:00 (00:00),Porto,3–0,Moreirense,,Estádio Do Dragão,Manuel Mota,Match Report,
Regular Season,12,Mon,2021-01-04,16:00 (20:00),Santa Clara,1–1,Benfica,,Estádio de São Miguel,Hélder Malheiro,Match Report,
Regular Season,12,Mon,2021-01-04,19:00 (22:00),Gil Vicente FC,0–0,Belenenses,,Estádio Cidade de Barcelos,Hugo Coelho,Match Report,
Regular Season,12,Mon,2021-01-04,21:15 (00:15),Portimonense,2–0,SC Farense,,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
Regular Season,13,Thu,2021-01-07,21:00 (00:00),Braga,2–1,Marítimo,,Estádio Municipal de Braga,Hélder Malheiro,Match Report,
Regular Season,13,Fri,2021-01-08,18:00 (21:00),Nacional,0–2,Sporting CP,,Estádio da Madeira,Manuel Mota,Match Report,
Regular Season,13,Fri,2021-01-08,19:00 (22:00),Rio Ave,3–0,Portimonense,,Estádio do Rio Ave Futebol Clube,Luís Godinho,Match Report,
Regular Season,13,Fri,2021-01-08,19:00 (22:00),Benfica,2–0,Tondela,,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
Regular Season,13,Fri,2021-01-08,21:00 (00:00),Famalicão,1–4,Porto,,Estádio Municipal 22 de Junho,Rui Costa,Match Report,
Regular Season,13,Sat,2021-01-09,17:00 (20:00),Moreirense,2–2,Vitória,,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
Regular Season,13,Sat,2021-01-09,20:30 (23:30),Boavista,1–1,Santa Clara,,Estádio do Bessa Século XXI,António Nobre,Match Report,
Regular Season,13,Sun,2021-01-10,15:00 (18:00),SC Farense,3–1,Gil Vicente FC,,Estádio de São Lúis,Hugo Miguel,Match Report,
Regular Season,13,Sun,2021-01-10,20:00 (23:00),Belenenses,0–2,Paços,,Estádio Nacional,João Pinheiro,Match Report,
